bathrooms,bedrooms,city,homeStatus,homeType,livingArea,price,rentZestimate,zipcode
5.0,5.0,Kingwood,FOR_SALE,SINGLE_FAMILY,3560.0,680000.0,4580.0,77345
4.0,5.0,Houston,FOR_SALE,SINGLE_FAMILY,2362.0,325000.0,2296.0,77064
3.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,1600.0,327700.0,,77092
2.0,3.0,Kingwood,FOR_SALE,SINGLE_FAMILY,1519.0,234990.0,1935.0,77339
4.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,2231.0,499900.0,3265.0,77007
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2847.0,255000.0,2126.0,77073
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2729.0,399000.0,2639.0,77083
3.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,2592.0,199900.0,2091.0,77014
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2630.0,350000.0,2663.0,77068
4.0,5.0,Houston,FOR_SALE,SINGLE_FAMILY,4441.0,495000.0,4437.0,77068
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2352.0,975000.0,5391.0,77008
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2349.0,228000.0,2579.0,77091
3.0,2.0,Houston,FOR_SALE,TOWNHOUSE,1600.0,168000.0,1971.0,77054
13.0,8.0,Houston,FOR_SALE,SINGLE_FAMILY,22000.0,59999999.0,4488.0,77024
2.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,2772.0,475000.0,2126.0,77084
4.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,3199.0,399000.0,2594.0,77070
2.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2031.0,329900.0,2167.0,77077
3.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,2186.0,249900.0,2064.0,77082
3.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,2134.0,660000.0,3080.0,77008
2.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,1989.0,265000.0,2068.0,77084
3.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,2044.0,269900.0,2039.0,77085
6.0,6.0,Houston,FOR_SALE,SINGLE_FAMILY,5712.0,750000.0,5041.0,77068
3.0,3.0,Houston,FOR_SALE,TOWNHOUSE,1452.0,150000.0,1680.0,77071
4.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,3508.0,600000.0,4253.0,77059
6.0,5.0,Houston,FOR_SALE,SINGLE_FAMILY,6444.0,2150000.0,6975.0,77055
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,3068.0,349900.0,2362.0,77068
2.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,1898.0,359500.0,1350.0,77023
4.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2792.0,599000.0,3435.0,77077
2.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,1428.0,275000.0,2514.0,77037
2.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,1481.0,299990.0,1996.0,77092
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,1645.0,228000.0,,77091
4.0,3.0,Houston,FOR_SALE,CONDO,3364.0,850000.0,5251.0,77056
3.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,1516.0,135000.0,1542.0,77039
4.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,2270.0,535000.0,3120.0,77006
4.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,2424.0,530000.0,3186.0,77007
3.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,1736.0,182500.0,1739.0,77099
4.0,3.0,Houston,FOR_SALE,SINGLE_FAMILY,2291.0,409900.0,2831.0,77020
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2468.0,358000.0,2194.0,77064
2.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,3142.0,274900.0,2132.0,77073
3.0,4.0,Houston,FOR_SALE,SINGLE_FAMILY,2293.0,725000.0,3190.0,77096
7.0,5.0,Houston,FOR_SALE,SINGLE_FAMILY,6553.0,1999000.0,6939.0,77082
